#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Level,S1,S2,S3,S4,S5,PWM,RPM
5,0,0,1,0,1,173,36.85
5,0,0,1,0,1,174,37.06
5,0,0,1,0,1,175,37.27
5,0,0,1,0,1,176,37.48
5,0,0,1,0,1,177,37.70
5,0,0,1,0,1,178,37.91
5,0,0,1,0,1,179,38.12
5,0,0,1,0,1,180,38.34
5,0,0,1,0,1,181,38.55
5,0,0,1,0,1,182,38.76
5,0,0,1,0,1,183,38.98
5,0,0,0,0,1,184,39.19
5,0,0,0,0,1,185,39.40
5,0,0,0,0,1,186,39.61
5,0,0,0,0,1,187,39.83
5,0,0,0,0,1,188,40.04
5,0,0,0,0,1,189,40.25
5,0,0,0,0,1,190,40.47
5,0,0,0,0,1,191,40.68
5,0,0,0,0,1,192,40.89
5,0,0,0,0,1,193,41.11
5,0,0,0,0,1,194,41.32
5,0,0,0,0,1,195,41.53
5,0,0,0,0,1,196,41.74
5,0,0,0,0,1,197,41.96
5,0,0,0,0,1,198,42.17
5,0,0,0,0,1,199,42.38
5,0,0,0,0,1,200,42.60
5,0,0,0,0,1,201,42.81
5,0,0,0,0,1,202,43.02
5,0,0,0,0,1,203,43.24
5,0,0,0,0,1,204,43.45
5,0,0,0,0,1,205,43.66
5,0,0,0,0,1,206,43.87
5,0,0,0,0,1,207,44.09
5,0,0,0,0,1,208,44.30
5,0,0,0,0,1,209,44.51
5,0,0,0,0,1,210,44.73
5,0,0,0,0,1,211,44.94
5,0,0,0,0,1,212,45.15
5,0,0,0,0,1,213,45.36
5,0,0,0,0,1,214,45.58
5,0,0,0,0,1,215,45.79
5,0,0,0,0,1,216,46.00
6,0,0,0,0,0,217,46.22
6,0,0,0,0,0,218,46.43
5,0,0,0,0,1,219,46.64
5,0,0,0,0,1,220,46.86
5,0,0,0,0,1,221,47.07
5,0,0,0,0,1,222,47.28
5,0,0,0,0,1,223,47.49
5,0,0,0,0,1,224,47.71
5,0,0,0,0,1,225,47.92
5,0,0,0,0,1,226,48.13
5,0,0,0,0,1,227,48.35
5,0,0,0,0,1,228,48.56
5,0,0,0,0,1,229,48.77
5,0,0,0,0,1,230,48.99
