#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
0,1,1,1,1,1,98,20.87
1,0,1,1,1,1,98,20.87
0,1,1,1,1,1,99,21.09
1,0,1,1,1,1,99,21.09
0,1,1,1,1,1,100,21.30
1,0,1,1,1,1,101,21.51
0,1,1,1,1,1,101,21.51
0,1,1,1,1,1,102,21.72
0,1,1,1,1,1,103,21.94
1,0,1,1,1,1,103,21.94
0,1,1,1,1,1,104,22.15
0,1,1,1,1,1,105,22.36
1,0,1,1,1,1,105,22.36
2,1,0,1,1,1,105,22.36
0,1,1,1,1,1,106,22.58
1,0,1,1,1,1,107,22.79
0,1,1,1,1,1,107,22.79
0,1,1,1,1,1,108,23.00
0,1,1,1,1,1,109,23.21
1,0,1,1,1,1,109,23.21
0,1,1,1,1,1,110,23.43
0,1,1,1,1,1,111,23.64
1,0,1,1,1,1,111,23.64
3,1,1,0,1,1,111,23.64
2,1,0,1,1,1,111,23.64
0,1,1,1,1,1,112,23.85
0,1,1,1,1,1,113,24.07
1,0,1,1,1,1,113,24.07
0,1,1,1,1,1,114,24.28
0,1,1,1,1,1,115,24.49
1,0,1,1,1,1,115,24.49
0,1,1,1,1,1,116,24.71
1,0,1,1,1,1,117,24.92
0,1,1,1,1,1,117,24.92
1,0,1,1,1,1,118,25.13
0,1,1,1,1,1,119,25.34
0,1,1,1,0,1,1,1,1,119,25.34
1,0,1,1,1,1,119,25.34
1,0,1,1,1,1,120,25.56
1,0,1,1,1,1,121,25.77
0,1,1,1,1,1,121,25.77
1,0,1,1,1,1,122,25.98
0,1,1,1,1,1,123,26.20
1,0,1,1,1,1,123,26.20
0,1,1,1,1,1,124,26.41
0,1,1,1,1,1,125,26.62
1,0,1,1,1,1,125,26.62
0,1,1,1,1,1,126,26.84
0,1,1,1,1,1,127,27.05
1,0,1,1,1,1,127,27.05
0,1,1,1,1,1,128,27.26
0,1,1,1,1,1,129,27.47
1,0,1,1,1,1,129,27.47
0,1,1,1
0,1,1,1,1,1,130,27.69
1,0,1,1,1,1,130,27.69
1,0,1,1,1,1,131,27.90
0,1,1,1,1,1,131,27.90
0,1,1,1,1,1,132,28.11
1,0,1,1,1,1,132,28.11
1,0,1,1,1,1,133,28.33
0,1,1,1,1,1,133,28.33
0,1,1,1,1,1,134,28.54
0,1,1,1,1,1,135,28.75
1,0,1,1,1,1,135,28.75
2,0,0,0,1,1,135,28.75
3,1,0,0,1,1,135,28.75
3,0,0,0,0,1,135,28.75
3,1,0,0,0,1,135,28.75
3,0,0,0,0,0,135,28.75
3,0,1,0,0,0,135,28.75
3,1,1,0,1,1,135,28.75
1,0,1,1,1,1,136,28.97
0,1,1,1,1,1,136,28.97
0,1,1,1,1,1,137,29.18
1,0,1,1,1,1,137,29.18
5,1,1,1,1,0,137,29.18
0,1,1,1,1,1,138,29.39
1,0,1,1,1,1,138,29.39
0,1,1,1,1,1,139,29.60
1,0,1,1,1,1,139,29.60
0,1,1,1,1,1,140,29.82
0,1,1,1,1,1,141,30.03
1,0,1,1,1,1,141,30.03
1,0,1,1,1,1,142,30.24
0,1,1,1,1,1,142,30.24
0,1,1,1,1,1,143,30.46
0,1,1,1,1,1,144,30.67
1,0,1,1,1,1,144,30.67
1,0,1,1,1,1,145,30.88
0,1,1,1,1,1,145,30.88
0,1,1,1,1,1,146,31.10
0,1,1,1,1,1,147,31.31
1,0,1,1,1,1,147,31.31
0,1,1,1,1,1,148,31.52
0,1,1,1,1,1,149,31.73
2,0,0,1,1,1,149,31.73
2,1,0,1,1,1,149,31.73
1,0,1,1,1,1,149,31.73
1,0,1,1,1,1,150,31.95
0,1,1,1,1,1,150,31.95
2,1,0,1,1,1,150,31.95
2,0,0,1,1,1,151,32.16
2,1,0,1,1,1,151,32.16
1,0,1,1,1,1,151,32.16
0,1,1,1,1,1,151,32.16
1,0,1,1,1,1,152,32.37
1,0,1,1,1,1,153,32.59
0,1,1,1,1,1,153,32.59
0,1,1,1,1,1,154,32.80
0,1,1,1,1,1,155,33.01
1,0,1,1,1,1,155,33.01
2,0,0,1,1,1,155,33.01
2,0,0,0,1,1,155,33.01
2,1,0,1,1,1,155,33.01
4,1,1,0,1,0,155,33.01
5,1,1,1,0,0,155,33.01
0,1,1,1,1,1,156,33.22
0,1,1,1,1,1,157,33.44
1,0,1,1,1,1,157,33.44
2,1,0,1,1,1,157,33.44
2,0,0,1,1,1,157,33.44
2,0,0,0,1,1,157,33.44
3,1,0,0,1,1,157,33.44
2,0,0,0,1,1,158,33.65
2,1,0,1,1,1,159,33.86
2,0,0,1,1,1,159,33.86
0,1,1,1,1,1,159,33.86
1,0,1,1,1,1,159,33.86
0,1,1,1,1,1,160,34.08
